Time,Tank 1,Tank 2,Tank 3
0,2.749406338,0,11.32452297
1,2.746373177,0.95004636,11.26760483
2,2.755849361,0.827536404,11.23824215
3,2.713208675,1.145970106,11.29494858
4,2.732988834,1.479747415,11.04912567
5,2.650679827,2.68562603,11.23576069
6,2.67380476,2.680323601,11.20176983
7,2.65507412,1.883164406,11.10229015
8,2.631650448,1.901358604,11.22765446
9,2.748263597,1.121942997,11.23827267
10,2.66146946,2.649312019,11.02794456
11,2.69484663,2.213635445,11.17403984
12,2.744604826,2.757777214,11.0364809
13,2.722159863,0.711655676,11.23553658
14,2.736142397,0.827389598,11.24482727
15,2.726880789,3.215616465,11.29881191
16,2.718849182,1.398747206,11.20290661
17,2.772113562,2.456670046,11.16646004
18,2.704273224,0,11.21046925
19,2.726460218,1.736299753,11.20066452
20,2.716117382,3.409905195,11.25308228
21,2.804647684,1.644820929,11.2949419
22,2.752850056,2.405029058,11.28791618
23,2.777499199,3.252840042,11.05853462
24,2.811110258,1.418708205,11.21403503
25,2.784968138,1.351589799,10.99839497
26,2.881252289,2.478649378,11.05945396
27,2.879741907,1.61157763,11.05246258
28,2.751598835,1.782055259,11.23900795
29,2.802477121,2.021055222,11.03401089
30,2.823436022,2.303168535,11.05364132
31,2.743519783,1.018755913,11.1852417
32,2.71972394,0.740080655,10.91694546
33,2.676311493,0.884523809,11.03080463
34,2.698155642,1.510390162,10.97350311
35,2.62394619,1.629579067,11.09806442
36,2.738200665,0.818001091,11.01752472
37,2.728806257,4.691683769,11.22080135
38,2.604236126,0,11.14586735
39,2.557735682,0.617184043,11.05609703
40,2.567264557,2.743634701,11.03272152
41,2.584217548,1.547459602,10.98500919
42,2.440912962,2.680961847,10.999403
43,2.408705473,0.693012118,10.90948391
44,2.434307098,0.498902887,11.12330341
45,2.507733822,1.800800562,10.90538502
46,2.481597662,2.874051571,11.08267212
47,2.361131191,1.394044399,10.89692783
48,2.451010227,3.238612413,10.98379326
49,2.597816229,1.307847381,10.84030724
50,2.511410713,0.843139648,11.02885437
51,2.548514366,3.508014441,10.85926819
52,2.485681057,1.344080806,10.96532917
53,2.521261692,3.198310852,10.76642323
54,2.45482111,3.514577866,10.97576332
55,2.42539525,3.310607195,10.88374233
56,2.412199259,0.549396038,10.77444363
57,2.477842808,0.70095098,10.93838406
58,2.448697329,1.565142393,11.03812599
59,2.501083612,3.192540169,11.04841042
60,2.423437357,2.352272272,10.91069412
61,2.413240671,0,10.81489086
62,2.544899464,2.699587584,10.6742506
63,2.515444279,1.913342834,10.75024605
64,2.482726574,3.250410795,10.76951504
65,2.526645184,3.02346921,10.59056854
66,2.43414712,1.747547507,10.7446785
67,2.417763233,2.060649395,10.50645733
68,2.455729485,2.325295448,10.65674496
69,2.478688478,0.889630318,10.5722189
70,2.351591825,1.23150897,10.392869
71,2.372383118,1.772188187,10.42427921
72,2.33780551,1.52602613,10.1898098
73,2.285415649,2.256807327,10.54115295
74,2.286942244,0.912197948,10.31528664
75,2.409035206,3.048266888,10.50558281
76,2.232681036,4.512639523,10.27125072
77,2.318144083,0,10.35853004
78,2.308262587,0.326363921,10.1978817
79,2.247335196,1.452189088,10.31973553
80,2.356314659,0.81585747,10.15191174
81,2.201068878,2.822334766,10.01581383
82,2.309831142,1.505549073,10.19962597
83,2.239552021,1.250819683,9.902488709
84,2.226818323,1.365314722,10.08872032
