Time,Tank 1,Tank 2,Tank 3,Temp
0,0,0.176244199,2.40004468,20.51426506
1,0,0,2.205153465,20.51152802
2,0.418236613,0,1.918658614,20.51563454
3,0.358729124,0,2.490211964,20.51563454
4,0,0,2.39122653,20.51563454
5,0.188974485,0,2.621871948,20.51426506
6,0,0.227654114,1.706702113,20.51289749
7,0,0,2.028124809,20.51426506
8,0.153950185,0,2.07555151,20.51016235
9,0,0.173489541,2.458548546,20.51016235
10,0,0.178690493,2.119256496,20.5074234
11,0.178033099,0.148710936,2.539524555,20.51152802
12,0.203073636,0.162767395,2.619093895,20.51152802
13,0,0,2.303585052,20.51289749
14,0.345912874,0,2.760409355,20.51426506
15,0,0.190873802,2.146024466,20.51152802
16,0.398017704,0.160912365,1.970167995,20.51016235
17,0.379389018,0,2.027750731,20.51563454
18,0,0.163206413,2.133564472,20.51426506
19,0,0,1.607260942,20.51152802
20,0,0,2.645355463,20.5074234
21,0,0,2.357111692,20.51426506
22,0,0,2.471580267,20.51152802
23,0,0.16387552,1.93255353,20.5074234
24,0,0,2.696201086,20.5074234
25,0,0.434250891,2.367293119,20.51563454
26,0,0,2.167137623,20.51152802
27,0,0,2.710348845,20.51426506
28,0,0,2.617462397,20.51563454
29,0.172784716,0.228682652,2.421515942,20.51016235
30,0.229523361,0,2.499603987,20.51152802
31,0.403044939,0,2.339523554,20.51426506
32,0.194175392,0.395417362,1.892195344,20.51289749
33,0.145017967,0.187912762,2.470221043,20.51152802
34,0,0,2.273038387,20.51563454
35,0,0,2.55744791,20.5074234
36,0,0,2.460555315,20.51563454
37,0,0.333774924,1.940775633,20.51563454
38,0,0,2.216580153,20.51426506
39,0,0,1.699426174,20.51152802
40,0,0,2.02464056,20.50879288
41,0,0,2.528599977,20.51563454
42,0,0.185501948,2.377744913,20.51563454
43,0,0,2.138542652,20.51563454
44,0,0.182157084,2.227152586,20.51563454
45,0,0.162510276,3.034398317,20.51289749
46,0,0,2.799973488,20.51700211
47,0,0.181602463,2.85375905,20.50879288
48,0,0,1.638571262,20.51563454
49,0,0.163534328,1.836127996,20.51563454
50,0,0,1.678191066,20.51700211
51,0.196487233,0.159119084,1.926953316,20.50879288
52,0,0.188666314,1.794283271,20.50879288
53,0,0,1.625182152,20.51700211
54,0,0,1.353337049,20.51700211
55,0,0.179774702,2.245290279,20.50879288
56,0,0.237570673,2.633764029,20.51426506
57,0,0,1.365207076,20.51563454
58,0,0,1.681585073,20.51563454
59,0,0.163814127,1.259491324,20.51289749
60,0,0.176052049,1.551938415,20.51563454
61,0,0,1.778014779,20.51700211
62,0,0.184105456,1.810191393,20.51700211
63,19.98155212,0,2.5896492,20.51016235
64,17.09729385,0.200892985,2.178946733,20.51563454
65,49.13885117,0,2.304511786,20.51289749
66,62.68553925,0,1.545244575,20.51289749
67,100.3732605,0.218456402,1.962266207,20.51426506
68,202.176651,0.204416171,2.081683874,20.50879288
69,177.8546448,0.206081197,2.268303156,20.5074234
70,348.98349,0.147125766,2.439573526,20.51152802
71,467.4225769,0.79495126,2.391150951,20.51289749
72,434.2436218,0.438011259,2.052930832,20.50605583
73,541.2997437,1.095040202,2.514057636,20.50468636
74,581.5863647,1.707412958,2.213691711,20.49921417
75,1200.997314,2.685281515,1.848260283,20.49237251
76,1138.727661,3.941213369,2.296380758,20.48689842
77,872.4382935,7.185717106,1.952986479,20.48689842
78,799.9798584,8.343289375,1.458716631,20.48963737
79,805.4192505,6.880516052,1.65523994,20.48963737
80,779.0947266,8.513588905,2.869790316,20.49237251
81,778.779541,10.77771664,2.985371351,20.48689842
82,773.6048584,12.15728474,1.419681072,20.48963737
83,793.013916,15.17326164,2.417542934,20.49237251
84,789.9589233,21.0257473,2.093972206,20.48963737
85,793.4295044,17.79332924,2.972417116,20.4882679
86,791.2800293,19.61079025,2.536915064,20.48416328
87,788.7514648,23.70645714,3.484366894,20.49100494
88,790.006897,27.02457428,1.96679306,20.48279381
89,788.2893677,26.75794029,2.153699398,20.4882679
90,786.4821167,32.42329407,1.390952587,20.4882679
91,787.7896118,28.03929138,1.96658659,20.48689842
92,788.9222412,33.47531509,1.878755569,20.48553085
93,786.8132324,36.77443695,2.29400444,20.48689842
94,790.684082,42.74335098,2.839482784,20.48553085
95,782.4987183,42.10873413,2.445301771,20.4882679
96,782.5557251,50.1803627,2.471071243,20.48689842
97,778.6890259,46.41944885,2.470704079,20.48553085
98,770.4042358,45.76918793,2.321591377,20.48689842
99,768.1358032,58.73025513,3.152299881,20.48416328
100,765.6654053,55.52416992,1.409405112,20.48416328
101,768.0626831,65.97644043,2.520505428,20.48279381
102,752.3762817,57.21768951,2.727317333,20.48416328
103,753.7420044,65.49304199,2.374505997,20.48279381
104,753.6555786,64.67258453,3.377978563,20.48553085
105,747.59198,69.86728668,2.88568759,20.48553085
106,753.585083,70.33151245,2.960729361,20.47868919
107,734.2824097,67.27371979,2.983914852,20.48416328
108,735.3103638,78.14874268,3.447104692,20.48416328
109,738.4160767,79.75322723,2.760288,20.47868919
110,721.159668,77.18270111,3.671324968,20.48416328
111,740.177063,80.64003754,3.639669418,20.48416328
112,730.4067993,88.16329193,4.270337105,20.48553085
113,720.286499,85.3147049,4.518351078,20.48416328
114,719.6343994,85.44788361,4.412961483,20.47868919
115,738.2206421,91.7509079,3.992718697,20.48416328
116,713.9333496,92.98527527,4.573749542,20.47732162
117,713.2833252,96.54808807,5.006457806,20.48553085
118,711.4376221,92.18035889,6.316248417,20.48689842
119,716.4128418,101.5126419,6.035298347,20.48553085
120,718.0115967,102.5696945,5.90901804,20.48689842
121,695.4816895,102.7677994,6.892066479,20.48416328
122,707.1904907,106.5938339,6.687434196,20.48416328
123,703.5964355,110.4227676,6.539595127,20.48279381
124,704.800415,113.5659943,7.91283083,20.48416328
125,711.8492432,117.9911652,7.241874695,20.48416328
126,681.5028076,116.6280594,7.562376976,20.48553085
127,703.2119751,118.1405106,7.751401901,20.48553085
128,696.3768311,120.3644791,8.159962654,20.48416328
129,690.0544434,115.5719986,8.919957161,20.48553085
130,687.2271729,121.8145905,8.945213318,20.48416328
131,686.6135864,128.1629028,9.025661469,20.48553085
132,686.4711914,123.2362061,9.540908813,20.48416328
133,682.7050781,126.7565918,10.87863255,20.48416328
134,683.7868652,129.6484222,10.42401123,20.48416328
135,685.6712036,133.4866791,11.61664486,20.48553085
136,682.5896606,137.6669464,10.98783588,20.48416328
137,671.3953247,132.1045837,12.09059238,20.48416328
138,665.7835083,131.730835,10.67305374,20.48553085
139,666.7944946,137.7039795,12.62277603,20.48553085
140,659.2635498,133.8580017,13.96776581,20.48553085
141,656.1876221,139.8609772,14.89895725,20.48689842
142,660.6334229,148.9911041,14.09305668,20.48553085
143,658.9342651,145.5150146,14.01454639,20.48005867
144,653.1625366,150.0139465,14.53141594,20.48689842
145,647.4788818,146.2801209,17.32307243,20.48963737
146,644.4046021,149.8220673,17.25748253,20.48279381
147,651.7883911,156.7631073,17.72711563,20.48689842
148,649.5187378,161.9174805,17.2271843,20.48689842
149,645.0542603,159.2053223,16.92442322,20.48689842
150,656.0217285,178.4629059,18.40080261,20.48142624
151,640.0730591,162.1705322,18.86112404,20.48279381
152,631.0801392,157.1872559,18.02662277,20.48279381
153,636.4111328,161.8503571,20.16418839,20.48279381
154,633.7507324,162.3948975,20.53617287,20.48689842
155,627.510437,170.1411591,21.76925087,20.49100494
156,628.7562866,172.9763947,23.01126289,20.4882679
157,627.2028809,174.1699371,23.40281868,20.48416328
158,618.8560791,173.4957581,22.88287354,20.49100494
159,623.9181519,176.3037415,22.30257988,20.4882679
160,628.6272583,185.8813934,23.52816391,20.49100494
161,616.3459473,175.6113281,24.56146622,20.48963737
162,618.0744019,178.8087463,26.07169914,20.48963737
163,610.6798706,178.0532684,25.59162521,20.4882679
164,614.0531006,188.5056458,25.71070862,20.48963737
165,601.5372925,183.0680847,26.10150337,20.48963737
166,607.2130737,184.2931976,28.49427414,20.49100494
167,601.0297241,189.0333557,28.09472275,20.49100494
168,606.2151489,187.8037567,28.97733116,20.48963737
169,597.5568848,186.440033,31.01918983,20.48963737
170,598.2474365,193.3436127,30.48290443,20.49100494
171,603.9901733,191.9583282,30.17255211,20.49100494
172,592.5582275,194.507019,31.3063488,20.49237251
173,599.1019897,199.0742645,31.48078156,20.48963737
174,591.4121704,198.3864136,34.31192017,20.49237251
175,591.1179199,206.0175629,34.18060684,20.49237251
176,581.7546387,198.7281799,33.09089279,20.49100494
177,584.6791382,202.8553467,34.04029846,20.49237251
178,582.4182129,207.970047,34.52064133,20.49374199
179,576.3291626,202.9641571,35.98399735,20.49100494
