Time,Tank 1,Tank 2,Tank 3
0,1.939688206,2.035979986,1.794722438
1,1.504054666,1.979913116,1.777273297
2,1.740399837,2.114026785,1.739580631
3,1.111218452,1.928721666,1.544124603
4,1.593182802,2.009138346,1.895543337
5,1.755952358,1.730412722,1.53182888
6,1.669819832,1.786541104,1.719532371
7,1.946025133,2.15731883,1.709222078
8,1.81251955,1.919918537,1.686551809
9,1.990339518,2.118102074,1.875212669
10,2.017327309,1.846948624,1.736083865
11,1.663901806,1.823210478,1.761565328
12,1.550861001,2.071385145,1.779651046
13,2.092577457,1.827277064,1.879068613
14,1.080815673,1.895140409,1.780535698
15,1.857919097,1.99037075,1.718184471
16,1.652935266,1.676603794,1.727967858
17,1.61258626,1.955315948,1.682553887
18,1.718749046,2.045637369,1.715681911
19,1.921960592,1.871175647,1.694107652
20,1.2713871,1.828881502,1.65728879
21,1.123166442,2.015022993,1.755474687
22,0.729054868,2.061786652,1.619914413
23,2.083397627,2.151437044,1.56859839
24,1.391064882,2.041339636,1.82782948
25,1.50391674,2.030465364,1.68855834
26,1.394152164,1.992528796,1.789674759
27,1.286177039,2.054234982,1.605402946
28,2.020607948,2.014335871,1.765109181
29,1.911340714,2.090680599,1.770619512
30,1.893080354,2.024348021,1.793731928
31,2.096093893,2.092965603,1.776474118
32,2.111111879,2.217291117,1.730962753
33,1.259306669,1.936141968,1.80232203
34,1.305316687,2.097837687,1.728274226
35,1.259591222,2.189031839,1.759091377
36,1.016570449,2.104859591,1.689156294
37,1.46598804,1.948753357,1.837596536
38,1.96821475,2.010104418,1.583398461
39,1.416228652,2.097675085,1.808859229
40,1.146443605,2.06091404,1.580111265
41,2.01019001,2.085145473,1.678607464
42,1.330329537,1.96570003,1.753752708
43,1.422483802,2.068787098,1.749808073
44,1.625743151,2.012565374,1.419686317
45,2.06357646,1.921791315,1.796346903
46,1.427943349,2.160464525,1.940039158
47,1.540635228,2.107819796,1.673153281
48,2.135591984,2.016697884,1.941205621
49,1.91104126,2.170922756,1.767375469
50,1.357148767,1.945563197,1.762958884
51,0.869238317,2.077759743,1.771711349
52,1.953460336,2.097242594,1.664392471
53,1.937912822,2.032561302,1.794890642
54,1.656792164,2.130671501,1.695283413
55,1.162745953,1.978465796,1.874681234
56,1.257127285,2.104621172,1.83625567
57,1.479164004,1.991408467,1.725723267
58,2.111467838,2.152567387,1.685668111
59,1.546677351,2.030870914,1.68126297
60,1.461756468,2.040990829,1.631723404
61,0.986468732,2.073465586,1.781532526
62,1.473043561,2.166152,1.865812659
63,1.941995144,2.023762465,1.650320172
64,2.087956905,2.001706362,1.47588253
65,1.698971748,2.213658094,1.673807859
66,1.841550708,2.083238602,1.726287007
67,1.424917221,2.180385828,1.753641009
68,1.920109034,2.120552301,1.656570673
69,0.691707253,2.054726601,1.717652202
70,1.121889114,2.097754717,1.564566016
71,1.986521006,1.984508276,1.593606949
72,2.037735224,2.024403095,1.549721479
73,1.597567558,2.09607935,1.74236083
74,1.4846735,2.064011812,1.656825066
75,1.137978435,2.073025465,1.675075889
76,2.031686068,2.179614306,1.704585314
77,1.396428227,2.018837929,1.654118538
78,1.43871963,2.145753384,1.614896417
79,1.763705015,2.031261683,1.693648696
80,1.836428165,2.139079094,1.637868881
81,1.556659818,1.957732081,1.720701694
82,1.766477227,2.160477877,1.619685054
83,1.853746653,2.041214228,1.843063354
84,1.436636686,2.06216979,1.676957369
85,1.44854784,2.044240713,1.797658682
86,1.887032628,2.095878839,1.646508336
87,0.825806677,2.068930864,1.798703194
88,1.522610664,2.024067879,1.615647912
89,2.064857244,2.003695011,1.65173912
90,1.843142152,1.946080565,1.68731451
91,1.757439852,2.070005417,1.650359511
92,2.021697283,2.02654624,1.699725866
93,1.754999757,1.994338989,1.651299357
94,1.86414969,2.096735239,1.693169951
95,1.245516419,2.051582098,1.674142599
96,1.105096579,1.993046522,1.725627542
97,1.459316969,2.111644268,1.610767126
98,1.451910973,2.016847849,1.657032013
99,2.006969213,2.091696978,1.728954196
100,2.23627758,2.056530476,1.642246366
101,1.888255835,2.036473989,1.793117285
102,1.692420244,2.134642363,1.725567818
103,2.117011309,2.152164459,1.922216892
104,1.993406534,1.980818033,1.690553069
105,2.12361455,2.148459673,1.730004072
106,2.013972282,2.034646273,1.651223779
107,2.224769115,2.187591076,1.74007535
108,1.819558859,2.141270876,1.710267186
109,1.736669064,2.067007542,1.838938713
110,1.585196853,2.007231951,1.766101241
111,1.520516753,2.154624701,1.716326952
112,1.689983249,2.205783844,1.60838902
113,1.710602522,2.150086164,1.634906411
114,1.881595492,2.014568567,1.75337255
115,1.018865466,2.083657742,1.792090058
116,1.326971889,2.107955456,1.579421163
117,1.325110555,2.147684813,1.696994543
118,1.599188685,2.046844244,1.779096365
119,1.869537115,2.071159601,1.656983137
120,1.769973755,2.035381794,1.723037481
121,1.439823866,2.151642084,1.734076142
122,1.977867484,2.092222929,1.657744169
123,1.653960705,2.165529728,1.785828114
124,1.811366558,2.029947758,1.599427223
125,1.369438767,2.121073484,1.729291081
126,1.936633468,2.11101532,1.613130927
127,1.404559135,2.101994038,1.495014429
128,1.145430565,2.118909836,1.649065852
129,1.382500887,2.10547781,1.796779275
130,1.4975245,2.213509798,1.803707719
131,1.641853213,2.1129632,1.846125841
132,1.263543487,2.030783176,1.708548665
133,1.9539572,2.128499031,1.638237238
134,1.583875895,2.190734625,1.657359004
135,1.583610415,2.136378527,1.566539049
136,1.746389389,2.212286949,1.709016919
137,0.922157824,2.029236078,1.610401988
138,1.550671458,2.033618689,1.734032631
139,1.859239817,2.264451027,1.712412477
140,1.878831625,2.071430445,1.85238564
141,1.800640225,2.108971357,1.534331679
142,1.845847964,2.186913967,1.753367782
143,1.638251781,2.043496609,1.639311075
144,2.019269705,2.016469717,1.764104843
145,1.964627147,2.041270018,1.602873445
146,2.09055233,2.139187336,1.921723843
147,1.73031044,2.017698526,1.626682997
148,1.801413536,2.125496626,1.68535006
149,1.701174736,2.151980877,1.767496824
150,1.533326268,2.06188798,1.666611075
151,1.649268985,2.099503994,1.697312951
152,1.27697587,1.970802069,1.710265875
153,2.036016226,2.063220978,1.865709782
154,0.93748939,2.120262861,1.626533628
155,2.151054144,2.011581659,1.850812554
156,1.853147984,1.96483171,1.872280836
157,1.805568337,1.938469529,1.949612617
158,1.38767004,2.048998833,1.821915388
159,2.058386326,2.238185406,0.401949167
160,1.684865355,1.92884779,0.719607353
161,1.882118464,2.116465807,1.028654337
162,1.901401877,1.974410057,0.999616921
163,2.047316074,2.03245616,4.728681564
164,1.896324515,1.957786679,7.179840565
165,1.410352826,2.18290329,8.512213707
166,1.865917206,1.9480654,10.74391079
167,1.760365367,1.954177737,13.45415211
168,1.706537962,2.068906307,15.38078976
169,1.670617104,2.104077816,18.24760818
170,2.013512373,2.025741577,19.52576828
171,1.865112543,2.174361944,22.10451698
172,2.164472103,2.141438723,25.33989716
173,1.784609199,2.036004543,28.55384445
174,2.138242245,2.187520504,32.04336548
175,1.915259004,2.131253242,42.07862473
176,1.923713088,2.177284956,56.14793015
177,1.486316085,1.996989131,73.9733429
178,1.840452552,2.137257576,103.4489594
179,1.776690483,2.172112942,127.9306641
180,1.327404022,2.138298512,155.9053345
181,2.034042835,2.170456648,200.9751282
182,1.874708891,2.115430117,315.6218567
183,1.934090018,2.226319313,467.5078735
184,1.703117728,2.350998163,628.3700562
185,1.713068843,2.374112368,750.9664307
186,1.885851145,2.230871916,815.2754517
187,1.923448086,2.275130749,859.7716064
188,1.880523324,2.247524261,863.3953857
189,2.022321701,2.22965312,869.8813477
190,1.725256801,2.183187723,987.2244873
191,1.892495155,2.325098038,1041.511475
192,1.807376027,2.142379761,1161.089233
193,1.697684288,2.329920292,1156.738525
194,1.290764451,2.367158413,1125.211914
195,1.801140785,2.317760229,1144.541138
196,1.934134245,2.455264568,1263.542847
197,1.947324276,2.355419159,1317.01001
198,1.539206624,2.252267838,1304.293579
199,1.374805093,2.361500025,1265.549194
200,1.991376877,2.380679846,1349.295654
201,1.712027192,2.246053457,1458.299438
202,1.795579195,2.380774021,1558.091553
203,1.673626304,2.22896862,1685.907104
204,2.107442379,2.303160191,1773.686768
205,1.999046922,2.243612528,1824.822144
206,1.833162785,2.309744358,1876.530151
207,1.932671905,2.281829357,1907.457153
208,1.921446085,2.476495266,1997.088867
209,1.876925588,2.568228722,2095.106934
210,1.963989496,2.500690937,2094.697754
211,2.232935429,2.825062513,2086.975098
212,2.241997957,2.853585243,2146.806396
213,2.206613064,2.775141001,2219.323975
214,1.904235244,2.89381218,2282.156738
215,1.731180072,2.784256935,2347.525391
216,1.940876007,3.073329687,2385.224365
217,2.077021122,3.135948658,2551.1875
218,1.952157855,3.606411934,2666.397217
219,1.579650283,4.030609131,2763.412354
220,2.145692348,4.580962658,2765.916748
221,2.421216011,5.095067024,2771.746826
222,2.355342865,5.677826881,2681.625
223,2.470760345,6.272877693,2702.597656
224,2.554079771,6.826835632,2742.894043
225,2.312846422,7.531887531,2786.604736
226,2.566732883,8.782020569,2892.275146
227,2.112587214,10.01079559,3030.849609
228,2.214594603,11.10819912,3096.166016
229,2.133378506,12.29832459,3106.400391
230,2.127732754,13.7795372,3133.947021
231,2.187285662,14.71209431,3112.768311
232,2.087430954,16.22616196,3113.732178
233,2.23639369,18.10168648,3165.0896
234,2.240702868,20.43424606,3235.33374
235,2.417964458,23.04643822,3270.082031
236,2.975957155,26.0465889,3351.218506
237,3.137143135,29.66671562,3420.597412
238,3.14673686,33.31893158,3478.409424
239,2.707253695,37.44246292,3491.671143
240,3.119960546,41.25873566,3476.291504
241,3.135297298,46.40556717,3459.8125
242,2.957512856,50.3147049,3466.470215
243,2.865509033,56.26445007,3489.619873
244,3.38663578,62.31843185,3518.742676
245,3.447720528,68.04930115,3524.624512
246,3.714075804,73.61154938,3506.096436
247,4.132169247,76.771492,3539.469238
248,3.912294388,81.35513306,3556.915527
249,4.105424404,85.24204254,3673.81543
250,4.731249332,88.18538666,3787.911133
251,4.566018581,93.25341797,3789.836182
252,4.570527554,97.59614563,3807.16748
253,5.095920086,100.6990433,3778.534424
254,5.302670002,105.6882782,3780.610352
255,5.017248631,110.4326477,3807.094238
256,5.463732243,114.8813629,3893.634766
257,5.702644348,119.1946487,4057.648682
258,5.791747093,123.4260712,4133.29541
259,5.604831219,126.6106339,4070.333008
260,5.559604645,129.5528412,4124.382813
261,5.401731491,132.2139282,4184.903809
262,5.347315788,137.0037994,4324.65918
263,5.520790577,139.0310364,4394.00293
264,5.288788795,142.2567596,4428.056152
265,5.474635124,145.295105,4439.809082
266,5.456466198,149.9271851,4488.364746
267,5.816227436,154.5516663,4499.211426
268,6.220654011,159.8965607,4511.356445
269,6.090662956,165.7152863,4524.785156
270,6.232181549,171.9996185,4535.929199
271,6.438187599,174.4813995,4544.630371
272,6.238163948,180.3504028,4549.321777
273,6.275997162,183.0388947,4551.559082
274,6.657745361,192.0163269,4629.400879
275,6.56720686,196.1251068,4735.026367
276,6.762757301,205.3683624,4828.068848
277,7.041911602,210.1448364,4849.37793
278,7.687107563,219.0367432,4862.586914
279,8.670210838,229.6359711,4886.373535
280,9.664753914,239.6729279,5012.752441
281,10.97562218,249.1254272,5044.491211
282,12.22625446,258.2710876,5066.529297
283,13.13104057,265.0653381,5067.025879
284,13.72707748,270.9490967,5070.466309
285,14.13640022,277.1300354,5077.717285
286,14.66287327,287.7153625,5086.983398
287,14.85509968,293.2286987,5092.730957
288,14.9932003,301.6905212,5134.819336
289,14.91351128,308.0447693,5187.82373
290,14.28176308,319.3382568,5205.581543
291,13.55613518,329.7991638,5210.144531
292,13.42904758,339.1255493,5216.15918
293,14.44240952,348.0005188,5219.616211
294,15.76666355,355.6634216,5225.849121
295,16.78604889,360.7585449,5239.681641
296,17.72623825,368.5202026,5220.287598
297,18.31568718,379.9135437,5332.191406
298,18.89650726,394.803833,5372.936523
299,18.9872551,405.6869812,5339.716309
300,19.38931274,424.8921204,5429.157227
301,20.01667976,446.5591736,5534.033691
302,20.57171822,468.2658386,5563.581543
303,21.22727013,491.2606506,5574.763184
304,22.10690308,513.4507446,5594.671875
305,22.76871681,534.161499,5621.448242
306,23.42961311,554.694519,5696.779785
307,24.2655468,582.6973877,5765.178223
308,24.9899044,602.5096436,5732.513184
309,25.60876083,625.4176636,5773.304199
310,25.81529617,643.2761841,5798.491211
311,26.32831573,665.7573853,5853.525879
312,27.20570755,686.7071533,5945.118164
313,28.1637249,704.8795166,5990.651367
314,29.09445763,721.1316528,6071.410156
315,29.06522369,734.1734009,6097.170898
316,28.64131355,742.6373291,6132.563965
317,28.68650246,753.2954102,6149.612305
318,28.95875549,767.5980835,6141.723145
319,29.09946442,779.2853394,6172.566406
320,29.48719215,796.1400757,6198.708496
321,29.65808868,811.2813721,6239.944336
322,29.87092018,830.3301392,6250.640137
323,29.9806633,850.8366699,6276.321289
324,29.83996964,880.4515381,6343.521973
325,29.42691231,910.7799683,6375.310547
326,29.08936691,942.5730591,6435.425293
327,28.66639709,978.7243652,6456.788086
328,28.37891006,1017.191895,6463.527344
329,28.31941414,1056.885864,6455.538574
330,28.34141159,1082.5271,6441.365723
