Time,Tank 1,Tank 2,Tank 3
0,4.295658112,0.433393002,0.284049243
1,4.754448891,0,0
2,4.214698315,0.377401531,0
3,4.33031702,0.340715826,0
4,4.671409607,0,0.247146621
5,4.661551952,0,0.238022849
6,4.294853687,0.313777983,0
7,4.634965897,0.507143378,0
8,4.305744171,0.456716299,0.535051286
9,3.729471684,0,0.258843035
10,4.389922619,0.544334412,0.524650097
11,4.312701702,0,0.236602083
12,3.898905039,0.236908555,0
13,4.163321972,0.436809391,0
14,4.191942215,0.413143754,0
15,3.928853035,0.541941464,0
16,3.988558769,0.543716848,0
17,3.949801683,0.348893464,0.383074939
18,4.300362587,0.28436622,0.450671613
19,4.176737785,0.456520408,0.432900399
20,4.072624683,0,0.223375157
21,3.484701157,0,0.217023641
22,4.522269726,0.172180295,0
23,4.592601776,0,0
24,3.789085627,0,0
25,4.273417473,0.207808495,0.201505423
26,4.222642422,0.184437022,0.237078011
27,3.871069193,0.20012787,0.47639367
28,4.456261158,0.380162627,0
29,4.139933586,0,0.441870123
30,4.246792793,0,0
31,3.927315474,0,0.264732212
32,3.841475248,0,0.228236824
33,4.084510803,0,0.217818782
34,3.846387625,0.191712976,0.198059216
35,4.009649754,0,0.24045983
36,3.29879117,0,0
37,3.558205605,0,0.433919191
38,3.646858692,0,0.414920121
39,3.576220512,0,0.185357243
40,3.524311781,0,0.451679498
41,3.602144718,0,0.225867003
42,4.065686703,0,0.541335285
43,3.630830765,0,0.495317936
44,3.959373951,0,0.250882119
45,3.421515226,0,0.695288241
46,3.325476646,0.314494669,0.188570157
47,3.37810421,0,0.68743974
48,2.633312464,0,0.190900013
49,3.828445673,0.320911855,0
50,3.012034655,0,0
51,3.609284878,0,0.285349458
52,2.959446669,0.444045126,0.256323725
53,3.73943758,0.399814248,0.276393861
54,3.395629168,0.482303441,0.219362959
55,3.567566156,0.391860336,0.191873804
56,2.970680475,0,0
57,3.85025382,0.188142374,0
58,2.316179276,0.22914426,0.431539804
59,3.444452763,0.50238502,0.285086572
60,3.580277205,0.302715451,0.267800122
61,3.508093119,0,0.419228584
62,3.056925535,0,0.430671513
63,3.024196863,0,0.481632859
64,3.072137356,0.663143039,0.228692025
65,3.663836718,0,0.278201193
66,3.386288881,0,0.25533098
67,3.845980406,0,0
68,3.184864998,0.467238277,0.191122562
69,2.429207563,0.401052475,0.219879165
70,3.030373096,0.443244249,0.483149797
71,3.04619503,0,0.233087838
72,3.103209496,0.573234439,0.202838182
73,3.174718618,0.436793804,0.509780049
74,2.282991409,0.422602326,0.437283516
75,3.226984262,0,0.220733881
76,2.810637712,0,0.196096018
77,3.000300407,0.407736868,0
78,3.153512716,0,0
79,3.484606504,0.363936275,0
80,3.345642567,0,0
81,2.650327206,0.204381853,0
82,2.767704725,0.261013269,0
83,2.656629801,0.234034359,0.236505926
84,2.792429447,0.38261503,0
85,3.507137775,0,0
86,3.521619082,0,0
