Time,Tank 1,Tank 2,Tank 3
0,11542.80273,8547.255859,10377.46289
1,11593.38184,8377.171875,10368.19434
2,11536.7959,8344.949219,10393.67773
3,11593.31738,8345.931641,10372.81445
4,11504.79395,8342.077148,10329.30078
5,11524.83398,8299.484375,10335.88184
6,11549.84961,8228.576172,10248.42676
7,11597.37012,8176.708008,10149.25293
8,11525.29102,8107.680176,10214.4873
9,11601.8125,8100.737305,10206.29688
10,11530.04004,8121.367188,10201.75098
11,11514.48047,8011.182129,10191.86328
12,11482.27734,7996.799316,10184.29492
13,11543.42969,7926.707031,10174.04102
14,11499.1582,7903.343262,10105.49805
15,11522.37891,7892.081055,10163.21289
16,11579.39746,7815.935547,10147.67871
17,11592.16309,7767.760254,10132.80371
18,11550.53906,7712.846191,10117.71582
19,11578.88867,7778.572266,10109.42871
20,11511.96191,7710.402344,10047.67285
21,11633.27832,7686.07666,10109.71777
22,11540.50684,7678.419922,10108.09082
23,11580.81836,7674.935059,10088.04492
24,11501.71191,7683.247559,10053.49512
25,11497.86328,7608.112305,10013.79199
26,11443.97656,7548.102051,9985.669922
27,11530.62109,7518.901367,9890.577148
28,11452.41211,7465.80957,9914.927734
29,11547.58203,7478.658691,9920.31543
30,11447.50781,7462.672363,9825.139648
31,11533.12305,7424.322754,9823.345703
32,11532.41504,7430.018066,9820.72168
33,11520.17188,7372.596191,9840.959961
34,11481.62988,7272.416016,9869.216797
35,11432.60547,7167.947754,9958.347656
36,11463.27734,7141.617676,9908.466797
37,11513.06543,7191.005859,9871.429688
38,11467.74902,7088.23291,9845.785156
39,11493.90234,7094.397949,9896.782227
40,11483.91797,7118.746582,9933.242188
41,11515.99512,7031.958984,9837.551758
42,11455.54688,7025.668457,9821.367188
43,11521.34961,7068.023926,9716.464844
44,11389.07129,6983.755371,9654.72168
45,11510.60547,6931.777832,9592.389648
46,11521.43945,6921.821777,9596.584961
47,11442.69043,6996.390137,9559.347656
48,11453.57715,6966.940918,9521.985352
49,11475.66699,6902.429199,9492.167969
50,11471.61426,6810.851074,9458.8125
51,11467.34668,6732.152344,9441.473633
52,11520.24512,6743.125,9434.266602
53,11515.62793,6813.48877,9431.521484
54,11489.90723,6812.132324,9424.177734
55,11460.80859,6822.519043,9414.8125
56,11435.18555,6770.634277,9376.969727
57,11408.45215,6674.190918,9378.249023
58,11435.00098,6541.715332,9408.891602
59,11367.11328,6530.79248,9411.185547
60,11402.71191,6576.543457,9463.990234
61,11379.4043,6492.351074,9481.432617
62,11413.05762,6456.03125,9483.200195
63,11431.94922,6381.827148,9448.900391
64,11311.31543,6388.93457,9427.075195
65,11408.54395,6372.093262,9429.755859
66,11296.03027,6350.625977,9398.525391
67,11293.19043,6306.996094,9350.46582
68,11446.20801,6323.157227,9324.490234
69,11404.63672,6311.33252,9298.865234
70,11418.60449,6305.978027,9274.580078
71,11272.02051,6247.591309,9247.291992
72,11308.375,6161.379883,9200.875
73,11327.58398,6127.414551,9162.722656
74,11236.05078,6071.312012,9140.52832
75,11243.1416,6081.168945,9164.073242
76,11240.98242,6094.807129,9142.893555
77,11289.74121,5986.474121,9171.805664
