Time,Tank 1,Tank 2,Tank 3,Temp
0,0.603470623,0.480404526,0.661084354,21.71148491
1,0.985690713,0.95957166,1.056783676,21.71285629
2,0.503585041,1.124121547,0.68802315,21.71697235
3,0.527258337,0.972320259,1.170994997,21.71285629
4,0.533317029,0.770063698,0.548909843,21.71560097
5,0.68727541,0.808309257,0.580628693,21.71422958
6,1.124759793,1.112115741,0.720940471,21.71148491
7,0.470000029,1.137441874,0.973112822,21.71560097
8,0.219595373,0.927663207,0.535428345,21.71560097
9,0.894304037,1.059951544,0.65961206,21.71697235
10,0.465239316,0.776450276,0.556499422,21.71285629
11,0.823555529,0.465701967,0.668217897,21.71697235
12,0.491643816,0.99197793,1.028133631,21.71697235
13,1.024793625,0.727937698,1.268778801,21.71285629
14,1.096213579,0.74582082,1.019921541,21.71285629
15,0.605342388,0.537077248,1.142234802,21.71834564
16,1.012511253,0.442893773,1.30212307,21.71422958
17,0.627889276,0.732012749,1.283849359,21.71834564
18,0.940586746,0.980431974,1.079171062,21.71422958
19,0.9235062,0.463845432,0.721256495,21.71834564
20,0.26956895,0.956539869,0.883998632,21.71834564
21,0.705674171,0.897810161,1.592795968,21.71285629
22,0.692294776,0.471436113,1.246073365,21.71422958
23,0.592996716,0.514714718,1.014979482,21.71834564
24,0.770779908,0.832971931,1.08766818,21.71422958
25,0.317081839,0.765795767,1.657185316,21.71834564
26,0.707529783,0.793310225,1.359016895,21.71560097
27,0.266287267,0.9825055,0.965340555,21.71697235
28,0.916617036,0.773086488,1.886692047,21.71285629
29,0.515316725,0.716543913,2.305371046,21.71697235
30,0.710488081,1.047223568,1.574251413,21.71560097
31,0.846993566,0.733215094,1.719139934,21.71834564
32,0.687681675,1.023707986,1.735851765,21.71422958
33,0.717059016,0.530011058,1.754101157,21.71834564
34,0.749556661,1.031869769,1.749152184,21.7210865
35,0.7338534,1.111284256,1.628142715,21.71834564
36,0.45974502,1.015762925,1.767186403,21.71697235
37,0.798591971,0.706210196,1.592903018,21.71422958
38,0.956797719,0.651381195,1.722907186,21.71285629
39,0.786351681,0.559661865,1.626472235,21.71834564
