Time,Tank 1,Tank 2,Tank 3
0,27.90133858,35.86984634,45.52725601
2,27.87028694,35.84074783,45.53582382
4,27.87314034,35.83075714,45.50984955
6,27.90039063,35.82822037,45.4924469
8,27.84450912,35.80509567,45.48095703
10,27.88031769,35.80936432,45.46884537
12,27.86041832,35.77087402,45.4564743
14,27.86316109,35.7663269,45.43675232
16,27.83615112,35.77716064,45.44223404
18,27.84584808,35.73780441,45.40488434
20,27.84944153,35.73047256,45.35811996
22,27.82049179,35.72429657,45.41507339
24,27.8192234,35.70110703,45.38572311
26,27.84297943,35.70668411,45.35205841
28,27.83896446,35.68731689,45.34688568
30,27.82801819,35.67958069,45.30883789
32,27.83333969,35.66167068,45.29850388
34,27.8020134,35.67085648,45.28794098
36,27.78759766,35.64377975,45.2533226
38,27.79698181,35.63615036,45.22238922
40,27.85292625,35.61790085,45.24371719
42,27.97991943,35.59711456,45.21235275
44,28.08065987,35.59793472,45.20575333
46,28.99615288,35.56095505,45.19573212
48,28.74629402,35.56407928,45.18423843
50,32.02965546,35.54494095,45.15221787
52,31.74180412,35.54883957,45.1381073
54,35.10780716,35.53477478,45.10999298
56,35.80582047,35.50439072,45.09418869
58,39.56407547,35.49998474,45.10861206
60,41.68735123,35.49091339,45.09360886
62,42.8381691,35.46921158,45.06500626
64,46.76813507,35.46147156,45.02845383
66,45.84011078,35.47306824,45.00975037
68,47.46313477,35.4318428,44.9509964
70,48.03832626,35.43641281,45.00310898
72,50.27051544,35.44164658,44.97874451
74,53.5896225,35.42173767,44.96865463
76,53.46331406,35.4152298,44.95277786
78,54.3388443,35.42030716,44.93819427
80,55.06655121,35.42334747,44.89230347
82,57.48816681,35.4346962,44.93008804
84,57.74368286,35.43460464,44.90129471
86,60.42901611,35.4767189,44.87308502
88,59.18110275,35.46392441,44.86162567
90,64.88035584,35.47265625,44.83889389
92,71.2252121,35.47933197,44.84370422
94,65.49253845,35.4996109,44.81406784
96,68.9413681,35.52891159,44.78546906
98,70.65234375,35.59372711,44.78488922
100,70.93941498,35.63513947,44.78392029
102,78.55820465,35.65742493,44.75698853
104,96.36805725,35.64931488,44.70555496
106,85.55136871,35.72993088,44.70267105
108,111.517601,35.70223618,44.68696213
110,106.6673508,35.7678299,44.68450546
112,113.6752472,35.78316879,44.61604691
114,127.9694901,35.82913971,44.65634537
116,142.4083405,35.87336349,44.65250397
118,147.6921844,35.89959335,44.56056976
120,201.3532104,36.02547836,44.63341141
122,183.8251038,35.99483109,44.58935165
124,258.0663757,36.18006516,44.57037735
126,215.5959015,36.23833466,44.54177856
128,254.0098419,36.31134796,44.55177307
130,275.5501404,36.40721512,44.51953125
132,256.2856445,36.53368378,44.50384903
134,273.28479,36.59483337,44.48272705
136,303.4605713,36.75175095,44.48086166
138,337.4221191,36.94655609,44.47093582
140,340.7621765,37.48703003,44.45321655
142,348.2929382,37.40511703,44.41970825
144,395.5144959,37.64497757,44.42204666
146,456.636322,37.74937058,44.42212677
148,425.8843079,37.9305954,44.36103439
150,472.6503601,38.28100586,44.40593719
152,447.5786743,38.85832977,44.37012863
154,482.1697083,39.0877037,44.33118439
156,568.2180176,39.57204437,44.33237457
158,532.1641846,39.99987412,44.32068634
160,617.6554565,39.98905182,44.31442642
162,631.9783325,40.21276474,44.2959671
164,593.8707275,42.40166473,44.29784393
166,591.4182129,41.29035568,44.28121948
168,635.9203491,42.38883972,44.29237366
170,628.8135376,42.87456512,44.2412796
172,649.3259277,43.85568619,44.22739029
174,694.0547485,43.69525909,44.1973877
176,699.2026978,45.01203156,44.21624756
178,719.1831665,45.07528687,44.20018005
180,743.2686768,45.97273636,44.19477081
182,776.5396118,46.37145996,44.19103622
184,771.2572021,47.17325211,44.16831207
186,861.0727539,47.870224,44.15209198
188,831.7231445,49.27035141,44.12788773
190,878.2693481,50.52716446,44.13230515
192,869.9257813,50.84561539,44.14153671
194,892.8007813,51.54541397,44.14640808
196,895.5150757,54.34259033,44.12579346
198,928.1304321,54.79896164,44.11984253
200,922.2173462,55.08417892,44.11940002
202,996.2289429,56.39654922,44.1112175
204,1058.086792,57.68193436,44.11496735
206,1004.479126,58.08475876,44.10114288
208,1032.878418,59.8622551,44.11717987
210,1061.274292,60.59473419,44.1124115
212,1080.828125,61.19732285,44.11565399
214,1088.62439,63.40323639,44.14096451
216,1136.918579,64.51390839,44.1378746
218,1122.981812,68.18039703,44.16459274
220,1140.82959,67.4513855,44.16003037
222,1199.772827,67.7906723,44.15221787
224,1231.102539,73.67050934,44.17499161
226,1247.186401,71.35758209,44.17861557
228,1229.271606,74.70609283,44.1866188
230,1243.455933,75.51866913,44.2276535
232,1260.818726,76.92304993,44.25121307
234,1287.20752,77.54866028,44.26203156
236,1310.683472,78.4205246,44.29974365
238,1342.369019,82.63670349,44.34145355
240,1386.564087,82.76113129,44.47231674
242,1414.137207,84.97344971,44.38037491
244,1386.017944,88.61630249,44.45466232
246,1471.906616,89.49871063,44.47902298
248,1433.824219,90.75973511,44.45240784
250,1482.202271,92.13868713,44.53847122
252,1494.539795,94.74230957,44.44753265
