Time,Tank 1,Tank 2,Tank 3
0,1022.227539,163.2972412,28.49283981
2,1010.956848,169.9020996,28.59500504
4,1011.357483,178.5519104,28.56822014
6,1009.802429,190.749176,28.87619019
8,1006.162842,202.0298157,29.00107765
10,998.6312256,217.6041107,28.84201431
12,992.7398682,230.4897308,28.96301651
14,951.5258179,241.1817169,28.9331665
16,889.640686,250.6148529,29.28138351
18,878.4055176,259.345459,29.46729279
20,852.4162598,262.8986816,29.38911629
22,828.7970581,262.5513306,36.3053894
24,805.5459595,251.0605469,46.90749741
26,803.2800293,241.7373199,48.49430466
28,780.5805054,274.2814026,52.19221497
30,774.1866455,298.5043945,51.21789932
32,763.395874,320.0917664,51.36901855
34,751.2844238,356.4727173,51.83929825
36,728.699646,388.0509338,58.89256668
38,718.0892334,412.4411926,70.87866211
40,693.086731,441.6685486,90.01242828
42,684.2092896,466.9035034,100.7113419
44,675.7479858,484.6079102,107.178154
46,654.1765747,498.2389832,106.9561691
48,648.7243652,506.0100098,110.9606476
50,630.7384033,509.4063416,110.1843033
52,632.4859619,523.6499023,122.530098
54,612.2868042,544.2978516,122.144577
56,605.590271,553.6529541,122.5672531
58,600.1367188,558.8287354,153.2219238
60,575.0075684,562.6948853,182.7384186
62,581.5963135,566.1638184,208.0275574
64,573.2738647,569.100708,201.0749359
66,557.4108887,571.321228,201.0489197
68,543.2147827,573.2753296,228.8793488
70,529.5195313,576.0285645,246.6759033
72,516.2335205,577.0305786,249.2438354
74,503.3339233,574.8157959,247.7614899
76,502.7267761,573.6277466,247.7863007
78,500.5492859,573.0195313,249.8058777
80,492.1443481,571.3293457,251.8609467
82,469.3575439,570.5776367,256.6573486
84,463.3428345,569.7521973,259.0058594
86,459.414093,565.9575806,254.41008
88,447.2967224,564.6914063,263.2964478
90,441.6052856,559.8826294,267.9501648
92,438.5743408,559.0042114,267.816925
94,434.578186,558.5525513,272.8479614
96,432.8469849,552.6456909,276.4985046
98,420.0596924,544.7791748,303.94104
100,413.9187622,541.5599976,313.296936
102,401.183197,537.8753662,325.358551
104,400.3015442,533.5002441,335.5960388
106,387.3939209,529.2138672,336.638916
108,369.5424805,524.3140259,340.0415344
110,378.1359253,523.4699707,344.7752991
112,367.4851379,517.3258057,341.9236755
114,357.2469482,515.2659912,346.2261353
116,351.2038269,512.149292,356.6813354
118,347.4588928,504.9205933,360.7077942
120,336.9601135,503.8215027,363.2452393
122,335.2207642,499.0003052,363.9685059
124,335.5131226,495.8214417,368.2008667
126,325.3978882,493.4649658,378.0320129
128,326.1699219,491.3755188,379.1705933
130,316.0724487,491.2398987,375.2615356
132,308.5379334,492.7337036,369.6589966
134,305.120636,489.5429382,374.1185913
136,301.1976929,479.8052063,376.4432983
138,299.0874023,470.1216736,380.9429932
140,294.2008362,468.122406,383.6548767
142,283.3227844,465.9536133,384.9691162
144,280.1008911,463.0888672,386.234375
146,279.2319946,458.5446777,382.8147888
148,274.3456726,452.0243835,383.1917725
150,273.8283997,450.5140076,384.2191772
152,268.3761902,452.7148132,391.5901489
154,266.1042175,447.9587097,390.2242432
156,253.5746918,438.182312,392.3506775
158,252.4348145,437.2623901,395.0050049
160,248.0046997,432.4935913,399.1988525
162,245.0997314,428.0982361,400.0544128
164,239.5376892,420.9796448,399.9967651
166,237.4181671,414.3209229,400.8388367
168,234.8054352,409.3385315,401.6468201
170,230.5980377,401.3609924,401.8397522
172,226.5917511,398.2540588,401.1561279
174,217.4818726,395.0151672,401.4757385
176,213.7861786,400.6217346,401.7466736
178,212.694046,395.4778137,401.298645
180,211.9775238,387.5038452,400.9405212
182,205.6316376,386.3952332,401.1051941
184,204.6807404,385.1841125,401.2580566
186,200.8867798,380.4480286,401.2466125
188,197.665802,375.506012,401.8522644
190,198.800705,366.4995117,402.133728
192,195.3917236,362.7445374,401.2978821
194,193.2496948,360.7733154,400.6589966
