Data Set 1:Time(s),Data Set 1:Absorbance,Data Set 2:Time(s),Data Set 2:Absorbance
0.000000,0.031,0.000000,0.035
2.000000,0.031,2.000000,0.034
4.000000,0.031,4.000000,0.035
6.000000,0.031,6.000000,0.034
8.000000,0.009,8.000000,0.033
10.000000,0.009,10.000000,0.037
12.000000,0.131,12.000000,0.016
14.000000,0.206,14.000000,0.062
16.000000,0.230,16.000000,0.143
18.000000,0.270,18.000000,0.166
20.000000,0.291,20.000000,0.185
22.000000,0.314,22.000000,0.212
24.000000,0.357,24.000000,0.249
26.000000,0.384,26.000000,0.273
28.000000,0.413,28.000000,0.304
30.000000,0.456,30.000000,0.325
32.000000,0.479,32.000000,0.344
34.000000,0.529,34.000000,0.406
36.000000,0.557,36.000000,0.431
38.000000,0.582,38.000000,0.486
40.000000,0.632,40.000000,0.507
42.000000,0.656,42.000000,0.525
44.000000,0.682,44.000000,0.572
46.000000,0.737,46.000000,0.579
48.000000,0.764,48.000000,0.602
50.000000,0.789,50.000000,0.670
52.000000,0.844,52.000000,0.704
54.000000,0.880,54.000000,0.736
56.000000,0.929,56.000000,0.781
58.000000,0.954,58.000000,0.803
60.000000,0.982,60.000000,0.857
62.000000,1.036,62.000000,0.885
64.000000,1.060,64.000000,0.916
66.000000,1.085,66.000000,0.991
68.000000,1.137,68.000000,1.023
70.000000,1.162,70.000000,1.040
72.000000,1.214,72.000000,1.083
74.000000,1.239,74.000000,1.111
76.000000,1.264,76.000000,1.166
78.000000,1.314,78.000000,1.196
80.000000,1.336,80.000000,1.228
82.000000,1.361,82.000000,1.271
84.000000,1.402,84.000000,1.296
86.000000,1.420,86.000000,1.322
88.000000,1.442,88.000000,1.366
90.000000,1.480,90.000000,1.390
92.000000,1.500,92.000000,1.444
94.000000,1.538,94.000000,1.473
96.000000,1.557,96.000000,1.503
98.000000,1.579,98.000000,1.561
100.000000,1.617,100.000000,1.586
102.000000,1.626,102.000000,1.601
104.000000,1.642,104.000000,1.636
106.000000,1.674,106.000000,1.656
108.000000,1.689,108.000000,1.674
110.000000,1.705,110.000000,1.710
112.000000,1.724,112.000000,1.732
114.000000,1.732,114.000000,1.765
116.000000,1.754,116.000000,1.783
118.000000,1.766,118.000000,1.793
120.000000,1.773,120.000000,1.811
122.000000,1.794,122.000000,1.824
124.000000,1.802,124.000000,1.830
126.000000,1.821,126.000000,1.856
128.000000,1.824,128.000000,1.864
130.000000,1.824,130.000000,1.877
132.000000,1.840,132.000000,1.887
134.000000,1.836,134.000000,1.904
136.000000,1.846,136.000000,1.924
138.000000,1.850,138.000000,1.930
140.000000,1.853,140.000000,1.933
142.000000,1.856,142.000000,1.943
144.000000,1.859,144.000000,1.954
146.000000,1.867,146.000000,1.959
148.000000,1.876,148.000000,1.962
150.000000,1.878,150.000000,1.978
152.000000,1.876,152.000000,1.984
154.000000,1.880,154.000000,1.981
156.000000,1.880,156.000000,1.983
158.000000,1.886,158.000000,1.990
160.000000,1.886,160.000000,1.996
162.000000,1.884,162.000000,1.992
164.000000,1.892,164.000000,2.002
166.000000,1.895,166.000000,2.000
168.000000,1.892,168.000000,2.009
170.000000,1.895,170.000000,2.002
172.000000,1.888,172.000000,2.004
174.000000,1.904,174.000000,2.010
176.000000,1.897,176.000000,2.020
178.000000,1.907,178.000000,2.007
180.000000,1.902,180.000000,2.014
182.000000,1.899,182.000000,2.017
184.000000,1.898,184.000000,2.017
186.000000,1.902,186.000000,2.021
188.000000,1.906,188.000000,2.026
190.000000,1.901,190.000000,2.014
192.000000,1.910,192.000000,2.022
194.000000,1.914,194.000000,2.026
196.000000,1.908,196.000000,2.026
198.000000,1.907,198.000000,2.024
200.000000,1.913,200.000000,2.031
202.000000,1.910,202.000000,2.032
204.000000,1.909,204.000000,2.028
206.000000,1.911,206.000000,2.027
208.000000,1.913,208.000000,2.031
210.000000,1.908,210.000000,2.026
212.000000,1.910,212.000000,2.028
214.000000,1.915,214.000000,2.045
216.000000,1.916,216.000000,2.032
218.000000,1.912,218.000000,2.031
220.000000,1.910,220.000000,2.035
222.000000,1.909,222.000000,2.038
224.000000,1.907,224.000000,2.036
226.000000,1.910,226.000000,2.041
228.000000,1.910,228.000000,2.037
230.000000,1.913,230.000000,2.044
232.000000,1.910,232.000000,2.039
234.000000,1.910,234.000000,2.035
236.000000,1.914,236.000000,2.035
238.000000,1.909,238.000000,2.031
240.000000,1.923,240.000000,2.040
242.000000,1.917,242.000000,2.035
244.000000,1.921,244.000000,2.027
246.000000,1.914,246.000000,2.036
248.000000,1.913,248.000000,2.037
250.000000,1.919,250.000000,2.037
252.000000,1.923,252.000000,2.035
254.000000,1.914,254.000000,2.032
256.000000,1.918,256.000000,2.039
258.000000,1.918,258.000000,2.032
260.000000,1.912,260.000000,2.048
262.000000,1.913,262.000000,2.038
264.000000,1.910,264.000000,2.037
