Data Set 1:Time(s),Data Set 1:Absorbance,Data Set 2:Time(s),Data Set 2:Absorbance,Data Set 3:Time(s),Data Set 3:Absorbance,Data Set 4:Time(s),Data Set 4:Absorbance,Data Set 5:Time(s),Data Set 5:Absorbance
0.000000,0.031,0.000000,0.035,0.000000,0.372,0.000000,0.026,0.000000,-0.006
2.000000,0.031,2.000000,0.034,2.000000,0.396,2.000000,0.027,2.000000,0.001
4.000000,0.031,4.000000,0.035,4.000000,0.451,4.000000,0.026,4.000000,0.014
6.000000,0.031,6.000000,0.034,6.000000,0.478,6.000000,0.031,6.000000,0.018
8.000000,0.009,8.000000,0.033,8.000000,0.508,8.000000,0.026,8.000000,0.019
10.000000,0.009,10.000000,0.037,10.000000,0.566,10.000000,0.023,10.000000,0.021
12.000000,0.131,12.000000,0.016,12.000000,0.598,12.000000,0.025,12.000000,0.016
14.000000,0.206,14.000000,0.062,14.000000,0.626,14.000000,0.023,14.000000,0.015
16.000000,0.230,16.000000,0.143,16.000000,0.684,16.000000,0.022,16.000000,0.019
18.000000,0.270,18.000000,0.166,18.000000,0.716,18.000000,0.026,18.000000,0.071
20.000000,0.291,20.000000,0.185,20.000000,0.776,20.000000,0.076,20.000000,0.020
22.000000,0.314,22.000000,0.212,22.000000,0.807,22.000000,0.019,22.000000,0.020
24.000000,0.357,24.000000,0.249,24.000000,0.837,24.000000,0.019,24.000000,0.020
26.000000,0.384,26.000000,0.273,26.000000,0.902,26.000000,0.159,26.000000,0.189
28.000000,0.413,28.000000,0.304,28.000000,0.932,28.000000,0.193,28.000000,0.191
30.000000,0.456,30.000000,0.325,30.000000,0.963,30.000000,0.215,30.000000,0.211
32.000000,0.479,32.000000,0.344,32.000000,1.022,32.000000,0.253,32.000000,0.256
34.000000,0.529,34.000000,0.406,34.000000,1.051,34.000000,0.275,34.000000,0.273
36.000000,0.557,36.000000,0.431,36.000000,1.110,36.000000,0.320,36.000000,0.293
38.000000,0.582,38.000000,0.486,38.000000,1.140,38.000000,0.338,38.000000,0.334
40.000000,0.632,40.000000,0.507,40.000000,1.171,40.000000,0.359,40.000000,0.354
42.000000,0.656,42.000000,0.525,42.000000,1.233,42.000000,0.404,42.000000,0.400
44.000000,0.682,44.000000,0.572,44.000000,1.262,44.000000,0.423,44.000000,0.416
46.000000,0.737,46.000000,0.579,46.000000,1.291,46.000000,0.443,46.000000,0.435
48.000000,0.764,48.000000,0.602,48.000000,1.348,48.000000,0.484,48.000000,0.478
50.000000,0.789,50.000000,0.670,50.000000,1.377,50.000000,0.503,50.000000,0.494
52.000000,0.844,52.000000,0.704,52.000000,1.427,52.000000,0.545,52.000000,0.512
54.000000,0.880,54.000000,0.736,54.000000,1.469,54.000000,0.563,54.000000,0.548
56.000000,0.929,56.000000,0.781,56.000000,1.482,56.000000,0.581,56.000000,0.580
58.000000,0.954,58.000000,0.803,58.000000,1.529,58.000000,0.619,58.000000,0.603
60.000000,0.982,60.000000,0.857,60.000000,1.552,60.000000,0.638,60.000000,0.618
62.000000,1.036,62.000000,0.885,62.000000,1.580,62.000000,0.656,62.000000,0.636
64.000000,1.060,64.000000,0.916,64.000000,1.623,64.000000,0.691,64.000000,0.675
66.000000,1.085,66.000000,0.991,66.000000,1.649,66.000000,0.710,66.000000,0.690
68.000000,1.137,68.000000,1.023,68.000000,1.672,68.000000,0.725,68.000000,0.701
70.000000,1.162,70.000000,1.040,70.000000,1.709,70.000000,0.757,70.000000,0.728
72.000000,1.214,72.000000,1.083,72.000000,1.731,72.000000,0.774,72.000000,0.753
74.000000,1.239,74.000000,1.111,74.000000,1.764,74.000000,0.805,74.000000,0.757
76.000000,1.264,76.000000,1.166,76.000000,1.776,76.000000,0.820,76.000000,0.784
78.000000,1.314,78.000000,1.196,78.000000,1.793,78.000000,0.837,78.000000,0.795
80.000000,1.336,80.000000,1.228,80.000000,1.821,80.000000,0.867,80.000000,0.821
82.000000,1.361,82.000000,1.271,82.000000,1.830,82.000000,0.879,82.000000,0.843
84.000000,1.402,84.000000,1.296,84.000000,1.848,84.000000,0.892,84.000000,0.845
86.000000,1.420,86.000000,1.322,86.000000,1.870,86.000000,0.919,86.000000,0.873
88.000000,1.442,88.000000,1.366,88.000000,1.879,88.000000,0.938,88.000000,0.877
90.000000,1.480,90.000000,1.390,90.000000,1.899,90.000000,0.963,90.000000,0.890
92.000000,1.500,92.000000,1.444,92.000000,1.905,92.000000,0.965,92.000000,0.905
94.000000,1.538,94.000000,1.473,94.000000,1.907,94.000000,0.976,94.000000,0.919
96.000000,1.557,96.000000,1.503,96.000000,1.923,96.000000,0.993,96.000000,0.932
98.000000,1.579,98.000000,1.561,98.000000,1.935,98.000000,1.002,98.000000,0.939
100.000000,1.617,100.000000,1.586,100.000000,1.936,100.000000,1.010,100.000000,0.946
102.000000,1.626,102.000000,1.601,102.000000,1.958,102.000000,1.026,102.000000,0.961
104.000000,1.642,104.000000,1.636,104.000000,1.956,104.000000,1.035,104.000000,0.966
106.000000,1.674,106.000000,1.656,106.000000,1.958,106.000000,1.048,106.000000,0.973
108.000000,1.689,108.000000,1.674,108.000000,1.969,108.000000,1.056,108.000000,0.982
110.000000,1.705,110.000000,1.710,110.000000,1.969,110.000000,1.063,110.000000,0.985
112.000000,1.724,112.000000,1.732,112.000000,1.973,112.000000,1.074,112.000000,0.998
114.000000,1.732,114.000000,1.765,114.000000,1.979,114.000000,1.087,114.000000,1.001
116.000000,1.754,116.000000,1.783,116.000000,1.987,116.000000,1.087,116.000000,1.005
118.000000,1.766,118.000000,1.793,118.000000,1.989,118.000000,1.104,118.000000,1.015
120.000000,1.773,120.000000,1.811,120.000000,1.988,120.000000,1.102,120.000000,1.017
122.000000,1.794,122.000000,1.824,122.000000,1.992,122.000000,1.106,122.000000,1.018
124.000000,1.802,124.000000,1.830,124.000000,1.999,124.000000,1.117,124.000000,1.027
126.000000,1.821,126.000000,1.856,126.000000,1.992,126.000000,1.119,126.000000,1.028
128.000000,1.824,128.000000,1.864,128.000000,2.001,128.000000,1.126,128.000000,1.035
130.000000,1.824,130.000000,1.877,130.000000,2.000,130.000000,1.130,130.000000,1.037
132.000000,1.840,132.000000,1.887,132.000000,2.003,132.000000,1.136,132.000000,1.040
134.000000,1.836,134.000000,1.904,134.000000,2.004,134.000000,1.143,134.000000,1.044
136.000000,1.846,136.000000,1.924,136.000000,2.008,136.000000,1.144,136.000000,1.046
138.000000,1.850,138.000000,1.930,138.000000,2.015,138.000000,1.146,138.000000,1.050
140.000000,1.853,140.000000,1.933,140.000000,2.015,140.000000,1.154,140.000000,1.052
142.000000,1.856,142.000000,1.943,142.000000,2.016,142.000000,1.152,142.000000,1.054
144.000000,1.859,144.000000,1.954,144.000000,2.013,144.000000,1.156,144.000000,1.057
146.000000,1.867,146.000000,1.959,146.000000,2.016,146.000000,1.159,146.000000,1.059
148.000000,1.876,148.000000,1.962,148.000000,2.021,148.000000,1.160,148.000000,1.071
150.000000,1.878,150.000000,1.978,150.000000,2.017,150.000000,1.163,150.000000,1.068
152.000000,1.876,152.000000,1.984,152.000000,2.019,152.000000,1.167,152.000000,1.075
154.000000,1.880,154.000000,1.981,154.000000,2.011,154.000000,1.170,154.000000,1.067
156.000000,1.880,156.000000,1.983,156.000000,2.025,156.000000,1.170,156.000000,1.067
158.000000,1.886,158.000000,1.990,158.000000,2.027,158.000000,1.170,158.000000,1.067
160.000000,1.886,160.000000,1.996,160.000000,2.016,160.000000,1.171,160.000000,1.070
162.000000,1.884,162.000000,1.992,162.000000,2.020,162.000000,1.174,162.000000,1.071
164.000000,1.892,164.000000,2.002,164.000000,2.021,164.000000,1.174,164.000000,1.074
166.000000,1.895,166.000000,2.000,166.000000,2.029,166.000000,1.177,166.000000,1.073
168.000000,1.892,168.000000,2.009,168.000000,2.022,168.000000,1.179,168.000000,1.073
170.000000,1.895,170.000000,2.002,170.000000,2.021,170.000000,1.178,170.000000,1.073
172.000000,1.888,172.000000,2.004,172.000000,2.021,172.000000,1.181,172.000000,1.074
174.000000,1.904,174.000000,2.010,174.000000,2.021,174.000000,1.182,174.000000,1.080
176.000000,1.897,176.000000,2.020,176.000000,2.023,176.000000,1.181,176.000000,1.074
178.000000,1.907,178.000000,2.007,178.000000,2.023,178.000000,1.182,178.000000,1.083
180.000000,1.902,180.000000,2.014,180.000000,2.027,180.000000,1.186,180.000000,1.075
182.000000,1.899,182.000000,2.017,182.000000,2.025,182.000000,1.185,182.000000,1.076
184.000000,1.898,184.000000,2.017,184.000000,2.027,184.000000,1.185,184.000000,1.075
186.000000,1.902,186.000000,2.021,186.000000,2.035,186.000000,1.184,186.000000,1.082
188.000000,1.906,188.000000,2.026,188.000000,2.022,188.000000,1.185,188.000000,1.078
190.000000,1.901,190.000000,2.014,190.000000,2.034,190.000000,1.186,190.000000,1.078
192.000000,1.910,192.000000,2.022,192.000000,2.023,192.000000,1.187,192.000000,1.078
194.000000,1.914,194.000000,2.026,194.000000,2.023,194.000000,1.186,194.000000,1.080
196.000000,1.908,196.000000,2.026,196.000000,2.026,196.000000,1.187,196.000000,1.079
198.000000,1.907,198.000000,2.024,198.000000,2.025,198.000000,1.189,198.000000,1.079
200.000000,1.913,200.000000,2.031,200.000000,2.025,200.000000,1.192,200.000000,1.077
202.000000,1.910,202.000000,2.032,202.000000,2.022,202.000000,1.187,202.000000,1.081
204.000000,1.909,204.000000,2.028,204.000000,2.019,204.000000,1.191,204.000000,1.079
206.000000,1.911,206.000000,2.027,206.000000,2.025,206.000000,1.187,206.000000,1.082
208.000000,1.913,208.000000,2.031,,,208.000000,1.187,208.000000,1.080
210.000000,1.908,210.000000,2.026,,,210.000000,1.186,210.000000,1.081
212.000000,1.910,212.000000,2.028,,,212.000000,1.189,212.000000,1.083
214.000000,1.915,214.000000,2.045,,,214.000000,1.189,214.000000,1.079
216.000000,1.916,216.000000,2.032,,,216.000000,1.189,216.000000,1.080
218.000000,1.912,218.000000,2.031,,,218.000000,1.191,218.000000,1.080
220.000000,1.910,220.000000,2.035,,,220.000000,1.187,220.000000,1.080
222.000000,1.909,222.000000,2.038,,,222.000000,1.191,222.000000,1.081
224.000000,1.907,224.000000,2.036,,,224.000000,1.191,224.000000,1.082
226.000000,1.910,226.000000,2.041,,,226.000000,1.193,226.000000,1.080
228.000000,1.910,228.000000,2.037,,,228.000000,1.195,228.000000,1.079
230.000000,1.913,230.000000,2.044,,,230.000000,1.190,230.000000,1.080
232.000000,1.910,232.000000,2.039,,,232.000000,1.192,232.000000,1.083
234.000000,1.910,234.000000,2.035,,,234.000000,1.193,,
236.000000,1.914,236.000000,2.035,,,236.000000,1.190,,
238.000000,1.909,238.000000,2.031,,,238.000000,1.189,,
240.000000,1.923,240.000000,2.040,,,240.000000,1.188,,
242.000000,1.917,242.000000,2.035,,,242.000000,1.189,,
244.000000,1.921,244.000000,2.027,,,244.000000,1.190,,
246.000000,1.914,246.000000,2.036,,,246.000000,1.187,,
248.000000,1.913,248.000000,2.037,,,248.000000,1.190,,
250.000000,1.919,250.000000,2.037,,,250.000000,1.190,,
252.000000,1.923,252.000000,2.035,,,252.000000,1.189,,
254.000000,1.914,254.000000,2.032,,,254.000000,1.190,,
256.000000,1.918,256.000000,2.039,,,,,,
258.000000,1.918,258.000000,2.032,,,,,,
260.000000,1.912,260.000000,2.048,,,,,,
262.000000,1.913,262.000000,2.038,,,,,,
264.000000,1.910,264.000000,2.037,,,,,,
