Data Set 1:Time(s),Data Set 1:Absorbance,Data Set 2:Time(s),Data Set 2:Absorbance,Data Set 3:Time(s),Data Set 3:Absorbance,Data Set 4:Time(s),Data Set 4:Absorbance,Data Set 5:Time(s),Data Set 5:Absorbance,Data Set 6:Time(s),Data Set 6:Absorbance,Data Set 7:Time(s),Data Set 7:Absorbance,Data Set 8:Time(s),Data Set 8:Absorbance,Data Set 9:Time(s),Data Set 9:Absorbance
0,0.031,0,0.035,0,0.372,0,0.026,0,-0.006,0,0.002,0,0.035,0,0.01,0,0.009
2,0.031,2,0.034,2,0.396,2,0.027,2,0.001,2,0.002,2,0.035,2,0.021,2,0.01
4,0.031,4,0.035,4,0.451,4,0.026,4,0.014,4,0.002,4,0.035,4,0.039,4,0.01
6,0.031,6,0.034,6,0.478,6,0.031,6,0.018,6,0.002,6,0.035,6,0.045,6,0.01
8,0.009,8,0.033,8,0.508,8,0.026,8,0.019,8,0.002,8,0.035,8,0.047,8,0.01
10,0.009,10,0.037,10,0.566,10,0.023,10,0.021,10,0.001,10,0.036,10,0.034,10,0.01
12,0.131,12,0.016,12,0.598,12,0.025,12,0.016,12,0.001,12,0.036,12,0.026,12,0.01
14,0.206,14,0.062,14,0.626,14,0.023,14,0.015,14,0.001,14,0.041,14,0.023,14,0.018
16,0.23,16,0.143,16,0.684,16,0.022,16,0.019,16,0.002,16,0.021,16,0.031,16,0.022
18,0.27,18,0.166,18,0.716,18,0.026,18,0.071,18,0.002,18,0.026,18,0.033,18,0.022
20,0.291,20,0.185,20,0.776,20,0.076,20,0.02,20,0.018,20,0.021,20,0.035,20,0.022
22,0.314,22,0.212,22,0.807,22,0.019,22,0.02,22,0.021,22,0.021,22,0.052,22,0.021
24,0.357,24,0.249,24,0.837,24,0.019,24,0.02,24,0.021,24,0.021,24,0.06,24,0.021
26,0.384,26,0.273,26,0.902,26,0.159,26,0.189,26,0.021,26,0.116,26,0.04,26,0.022
28,0.413,28,0.304,28,0.932,28,0.193,28,0.191,28,0.021,28,0.125,28,0.021,28,0.022
30,0.456,30,0.325,30,0.963,30,0.215,30,0.211,30,0.021,30,0.139,30,0.021,30,0.047
32,0.479,32,0.344,32,1.022,32,0.253,32,0.256,32,0.141,32,0.167,32,0.021,32,0.076
34,0.529,34,0.406,34,1.051,34,0.275,34,0.273,34,0.167,34,0.181,34,0.021,34,0.079
36,0.557,36,0.431,36,1.11,36,0.32,36,0.293,36,0.192,36,0.208,36,0.055,36,0.092
38,0.582,38,0.486,38,1.14,38,0.338,38,0.334,38,0.206,38,0.226,38,0.108,38,0.094
40,0.632,40,0.507,40,1.171,40,0.359,40,0.354,40,0.218,40,0.238,40,0.128,40,0.097
42,0.656,42,0.525,42,1.233,42,0.404,42,0.4,42,0.244,42,0.267,42,0.135,42,0.106
44,0.682,44,0.572,44,1.262,44,0.423,44,0.416,44,0.257,44,0.281,44,0.145,44,0.111
46,0.737,46,0.579,46,1.291,46,0.443,46,0.435,46,0.27,46,0.297,46,0.153,46,0.116
48,0.764,48,0.602,48,1.348,48,0.484,48,0.478,48,0.295,48,0.324,48,0.174,48,0.126
50,0.789,50,0.67,50,1.377,50,0.503,50,0.494,50,0.307,50,0.339,50,0.181,50,0.132
52,0.844,52,0.704,52,1.427,52,0.545,52,0.512,52,0.32,52,0.367,52,0.191,52,0.141
54,0.88,54,0.736,54,1.469,54,0.563,54,0.548,54,0.343,54,0.381,54,0.21,54,0.147
56,0.929,56,0.781,56,1.482,56,0.581,56,0.58,56,0.354,56,0.397,56,0.241,56,0.152
