Data Set 1:Time(s),Data Set 1:Absorbance
0.000000,0.035
2.000000,0.035
4.000000,0.035
6.000000,0.035
8.000000,0.035
10.000000,0.036
12.000000,0.036
14.000000,0.041
16.000000,0.021
18.000000,0.026
20.000000,0.021
22.000000,0.021
24.000000,0.021
26.000000,0.116
28.000000,0.125
30.000000,0.139
32.000000,0.167
34.000000,0.181
36.000000,0.208
38.000000,0.226
40.000000,0.238
42.000000,0.267
44.000000,0.281
46.000000,0.297
48.000000,0.324
50.000000,0.339
52.000000,0.367
54.000000,0.381
56.000000,0.397
58.000000,0.427
60.000000,0.439
62.000000,0.453
64.000000,0.479
66.000000,0.492
68.000000,0.520
70.000000,0.530
72.000000,0.542
74.000000,0.568
76.000000,0.582
78.000000,0.595
80.000000,0.625
82.000000,0.632
84.000000,0.656
86.000000,0.666
88.000000,0.677
90.000000,0.700
92.000000,0.711
94.000000,0.724
96.000000,0.743
98.000000,0.753
100.000000,0.764
102.000000,0.781
104.000000,0.790
106.000000,0.810
108.000000,0.819
110.000000,0.827
112.000000,0.843
114.000000,0.851
116.000000,0.861
118.000000,0.874
120.000000,0.879
122.000000,0.894
124.000000,0.900
126.000000,0.907
128.000000,0.918
130.000000,0.923
132.000000,0.929
134.000000,0.940
136.000000,0.945
138.000000,0.954
140.000000,0.959
142.000000,0.965
144.000000,0.972
146.000000,0.976
148.000000,0.979
150.000000,0.984
152.000000,0.988
154.000000,0.994
156.000000,0.999
158.000000,1.002
160.000000,1.007
162.000000,1.013
164.000000,1.014
166.000000,1.018
168.000000,1.019
170.000000,1.021
172.000000,1.028
174.000000,1.029
176.000000,1.033
178.000000,1.035
180.000000,1.038
182.000000,1.039
184.000000,1.042
186.000000,1.042
188.000000,1.046
190.000000,1.047
192.000000,1.050
194.000000,1.051
196.000000,1.052
198.000000,1.055
200.000000,1.057
202.000000,1.056
204.000000,1.059
206.000000,1.059
208.000000,1.061
210.000000,1.061
212.000000,1.063
214.000000,1.065
216.000000,1.064
218.000000,1.065
220.000000,1.066
222.000000,1.067
224.000000,1.067
226.000000,1.067
228.000000,1.068
230.000000,1.070
232.000000,1.070
234.000000,1.072
236.000000,1.071
238.000000,1.071
240.000000,1.073
242.000000,1.072
244.000000,1.073
246.000000,1.072
248.000000,1.074
250.000000,1.076
252.000000,1.074
254.000000,1.074
256.000000,1.074
258.000000,1.073
260.000000,1.074
262.000000,1.075
264.000000,1.074
266.000000,1.075
268.000000,1.075
270.000000,1.077
272.000000,1.076
274.000000,1.081
276.000000,1.077
278.000000,1.076
280.000000,1.075
282.000000,1.076
284.000000,1.075
286.000000,1.075
288.000000,1.076
290.000000,1.076
